file_name,time_created,exact_solution,num_vars,num_cons
Comb11_0_down_quadratic.lp,1743686566.339054,1186.4,74,19
Comb12_0_down_quadratic.lp,1743686566.341423,1459.2000000000005,98,22
Comb9_2_up_quadratic.lp,1743686566.335701,662.2,63,18
Comb9_0_increasing.lp,1743686566.334112,787.0,51,16
Comb10_2_decreasing.lp,1743686566.337407,880.3000000000001,68,19
Comb5_2_down_quadratic.lp,1743686566.326581,421.6,19,11
Comb2_2_decreasing.lp,1743686566.318414,297.20000000000005,11,9
Comb4_0_up_quadratic.lp,1743686566.322536,347.0,14,9
Comb4_2_increasing.lp,1743686566.323179,352.5,20,11
Comb4_2_down_quadratic.lp,1743686566.324111,417.4,20,11
Comb9_2_down_quadratic.lp,1743686566.335922,890.8000000000001,63,18
Comb2_0_down_quadratic.lp,1743686566.317604,331.0,7,7
Comb10_2_up_quadratic.lp,1743686566.337663,735.4,68,19
Comb1_0_decreasing.lp,1743686566.314511,309.0,6,7
Comb8_2_down_quadratic.lp,1743686566.333861,869.5999999999999,50,17
Comb7_0_increasing.lp,1743686566.329731,554.0,33,14
Comb3_0_down_quadratic.lp,1743686566.320269,266.0,13,8
Comb2_0_up_quadratic.lp,1743686566.317287,265.0,7,7
Comb0_0_down_quadratic.lp,1743686566.312496,300.0,7,7
Comb3_2_decreasing.lp,1743686566.320871,269.40000000000003,19,10
Comb8_0_increasing.lp,1743686566.331964,767.0,40,15
Comb11_2_decreasing.lp,1743686566.339592,1029.8,88,21
Comb1_0_down_quadratic.lp,1743686566.315132,317.0,6,7
Comb5_2_increasing.lp,1743686566.325577,348.5,19,11
Comb7_0_up_quadratic.lp,1743686566.330268,487.4,33,14
Comb7_0_down_quadratic.lp,1743686566.330515,645.2,33,14
Comb10_2_increasing.lp,1743686566.33715,814.6999999999999,68,19
Comb9_0_decreasing.lp,1743686566.334368,842.0,51,16
Comb10_2_down_quadratic.lp,1743686566.337966,924.4,68,19
Comb11_2_up_quadratic.lp,1743686566.339858,858.0,88,21
Comb2_2_increasing.lp,1743686566.318061,255.3,11,9
Comb6_0_down_quadratic.lp,1743686566.328196,727.8000000000001,26,12
Comb4_2_decreasing.lp,1743686566.323504,379.5,20,11
Comb11_2_down_quadratic.lp,1743686566.340126,1153.9,88,21
Comb3_0_up_quadratic.lp,1743686566.319954,247.0,13,8
Comb0_0_increasing.lp,1743686566.311382,283.0,7,7
Comb12_2_down_quadratic.lp,1743686566.342417,1418.6,114,24
Comb5_0_down_quadratic.lp,1743686566.325307,457.8,13,9
Comb12_0_increasing.lp,1743686566.340386,1261.0,98,22
Comb6_0_decreasing.lp,1743686566.327635,673.5,26,12
Comb6_0_up_quadratic.lp,1743686566.327913,552.8,26,12
Comb4_0_down_quadratic.lp,1743686566.322854,455.7999999999999,14,9
